# time of execution: 2022-11-14 17:04:20
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['0.8']
### sample paramters ###
# Sample: ['FGT']
# S=[2.0]
# mu_at=[2.0][mu_B]
# nz=1
# dx=[3.9e-10]	dy=[3.9e-10]	dz=[1.63e-09]	[m]
# atoms per unit cell:[10]
# asf=[0.035]
# Jint=[[0.0, 0.0]][J]
# Hex=0.0[J]
# gep=['4.4e+17'][W/m^3/K]
# factor cv_el=['200.0'][J/m^3/K^2]
# cv_ph_max=['1297763.7042694343'][J/m^3/K]
# Tc=[191][K]
# T_Deb=[460][K]
# kappa=[0][W/m/K]
# D=[0][W/m^2]
### pulse paramters ###
# peak power:1.25e+22[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	T_p(acc) [K]	itinerant mag
1.57	[[0.9947706671332909]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.58	[[0.9947387192983981]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.59	[[0.9947067880452282]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.6	[[0.9946748733622666]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.61	[[0.9946429752380068]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.62	[[0.9946110936609532]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.63	[[0.9945792286196234]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.64	[[0.9945473801025424]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.65	[[0.9945155480982472]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.66	[[0.9944837325952844]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.67	[[0.9944519335822131]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.68	[[0.9944201510476004]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.69	[[0.9943883849800261]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.7	[[0.9943566353680787]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.71	[[0.9943249022003597]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.72	[[0.9942931854654776]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.73	[[0.9942614851520548]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.74	[[0.9942298012487206]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.75	[[0.994198133744117]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.76	[[0.9941664826268972]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.77	[[0.9941348478857233]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.78	[[0.994103229509268]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.79	[[0.9940716274862135]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.8	[[0.9940400418052542]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.81	[[0.9940084724550926]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.82	[[0.9939769194244448]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.83	[[0.993945382702034]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.84	[[0.9939138622765965]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.85	[[0.9938823581368775]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.86	[[0.9938508702716305]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.87	[[0.9938193986696233]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.88	[[0.9937879433196304]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.89	[[0.9937565042104385]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.9	[[0.9937250813308433]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.91	[[0.9936936746696527]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.92	[[0.9936622842156838]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.93	[[0.9936309099577628]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.94	[[0.9935995518847278]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.95	[[0.9935682099854264]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.96	[[0.9935368842487162]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.97	[[0.9935055746634643]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.98	[[0.9934742812185492]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.99	[[0.9934430039028591]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.0	[[0.9934117427052924]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.01	[[0.9933804976147577]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.02	[[0.993349268620174]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.03	[[0.9933180557104678]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.04	[[0.9932868588745795]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.05	[[0.9932556781014575]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.06	[[0.993224513380061]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.07	[[0.9931933646993578]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.08	[[0.9931622320483272]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.09	[[0.9931311154159576]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.1	[[0.9931000147912498]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.11	[[0.99306893016321]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
