# time of execution: 2022-11-18 12:36:26
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['0.8']
### sample paramters ###
# Sample: ['FGT']
# S=[2.0]
# mu_at=[2.0][mu_B]
# nz=1
# dx=[3.9e-10]	dy=[3.9e-10]	dz=[1.63e-09]	[m]
# atoms per unit cell:[10]
# asf=[0.035]
# Jint=[[0.0, 0.0]][J]
# Hex=0.0[J]
# gep=['4.4e+17'][W/m^3/K]
# factor cv_el=['200.0'][J/m^3/K^2]
# cv_ph_max=['2595527.4085388687'][J/m^3/K]
# Tc=[191][K]
# T_Deb=[460][K]
# kappa=[0][W/m/K]
# D=[0][W/m^2]
### pulse paramters ###
# peak power:7.5e+21[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	T_p(acc) [K]	itinerant mag
1.27	[[0.99573686880493]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.28	[[0.9957044180997755]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.29	[[0.9956719843268267]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.3	[[0.9956395674742433]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.31	[[0.9956071675301965]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.32	[[0.9955747844828683]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.33	[[0.995542418320452]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.34	[[0.9955100690311514]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.35	[[0.9954777366031818]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.36	[[0.9954454210247691]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.37	[[0.9954131222841506]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.38	[[0.9953808403695722]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.39	[[0.9953485752692942]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.4	[[0.9953163269715855]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.41	[[0.9952840954647262]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
