# time of execution: 2022-11-14 13:34:36
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['0.8']
### sample paramters ###
# Sample: ['FGT']
# S=[2.0]
# mu_at=[2.0][mu_B]
# nz=1
# dx=[3.9e-10]	dy=[3.9e-10]	dz=[1.63e-09]	[m]
# atoms per unit cell:[10]
# asf=[0.02]
# Jint=[[0.0, 0.0]][J]
# Hex=0.0[J]
# gep=['4.4e+17'][W/m^3/K]
# factor cv_el=['200.0'][J/m^3/K^2]
# cv_ph_max=['479174.29080717574'][J/m^3/K]
# Tc=[191][K]
# T_Deb=[460][K]
# kappa=[0][W/m/K]
# D=[0][W/m^2]
### pulse paramters ###
# peak power:2.5e+21[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	T_p(acc) [K]	itinerant mag
2.0	[[0.996150942304391]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.01	[[0.9961322733632108]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.02	[[0.9961136100020443]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.03	[[0.9960949522186543]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.04	[[0.9960763000108057]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.05	[[0.9960576533762637]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.06	[[0.9960390123127948]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.07	[[0.9960203768181679]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.08	[[0.9960017468901515]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.09	[[0.9959831225265162]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.1	[[0.9959645037250339]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.11	[[0.9959458904834767]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.12	[[0.9959272827996186]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.13	[[0.9959086806712347]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.14	[[0.9958900840961024]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.15	[[0.9958714930719977]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.16	[[0.9958529075967001]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.17	[[0.9958343276679891]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.18	[[0.9958157532836467]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.19	[[0.9957971844414533]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.2	[[0.9957786211391922]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.21	[[0.9957600633746497]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.22	[[0.9957415111456109]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.23	[[0.9957229644498627]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.24	[[0.9957044232851923]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.25	[[0.9956858876493894]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.26	[[0.9956673575402444]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.27	[[0.9956488329555491]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
